run_id,family,mode,binary_run_label,window_label,nodes,seed,window_start_s,window_end_s,post_activation,app_tx_delta,app_rx_delta,app_missed_delta,app_reporting_nodes,parent_found_events,no_parent_events,radio_tx_count,radio_bytes,radio_interfered_count,unique_radio_senders,attacker_node16_radio_tx,root_node1_radio_tx,sinkhole_attack_enabled_events,sinkhole_advertised_rank_events,blackhole_attack_enabled_events,blackhole_drop_events
SH_ATTACK_N16_SEED234567,sinkhole,attack,1,1,16,234567,240,300,1,80,80,0,8,0,0,1065,39715,2186,16,343,171,1,1,0,0
SH_ATTACK_N16_SEED234567,sinkhole,attack,1,1,16,234567,300,360,1,130,130,0,13,0,0,1026,37249,2133,16,337,167,0,0,0,0
SH_ATTACK_N16_SEED234567,sinkhole,attack,1,1,16,234567,360,420,1,10,10,0,1,0,0,1025,37148,2103,16,333,166,0,0,0,0
SH_ATTACK_N16_SEED234567,sinkhole,attack,1,1,16,234567,420,480,1,140,140,0,14,0,0,1032,37747,2126,16,338,171,0,0,0,0
SH_ATTACK_N16_SEED234567,sinkhole,attack,1,1,16,234567,480,540,1,60,60,0,6,0,0,1070,39126,2193,16,344,173,0,0,0,0
SH_ATTACK_N16_SEED345678,sinkhole,attack,1,0,16,345678,0,60,0,0,0,0,0,15,15,596,26481,1300,16,178,87,0,0,0,0
SH_ATTACK_N16_SEED345678,sinkhole,attack,1,0,16,345678,60,120,0,0,0,0,0,0,0,1074,40361,2250,16,342,172,0,0,0,0
SH_ATTACK_N16_SEED345678,sinkhole,attack,1,0,16,345678,120,180,0,140,139,0,14,0,0,1054,39044,2212,16,336,170,0,0,0,0
SH_ATTACK_N16_SEED345678,sinkhole,attack,1,0,16,345678,180,240,0,40,40,0,4,0,0,1050,38894,2266,16,338,174,0,0,0,0
SH_ATTACK_N16_SEED345678,sinkhole,attack,1,1,16,345678,240,300,1,100,100,0,10,0,0,1086,40190,2265,16,352,175,1,1,0,0
SH_ATTACK_N16_SEED345678,sinkhole,attack,1,1,16,345678,300,360,1,110,109,0,11,0,0,1023,37242,2119,16,335,171,0,0,0,0
SH_ATTACK_N16_SEED345678,sinkhole,attack,1,1,16,345678,360,420,1,30,29,0,3,0,0,1045,37997,2160,16,338,174,0,0,0,0
SH_ATTACK_N16_SEED345678,sinkhole,attack,1,1,16,345678,420,480,1,140,139,0,14,0,0,1058,39111,2256,16,344,170,0,0,0,0
SH_ATTACK_N16_SEED345678,sinkhole,attack,1,1,16,345678,480,540,1,50,50,0,5,0,0,1030,37499,2129,16,333,170,0,0,0,0
SH_ATTACK_N16_SEED456789,sinkhole,attack,1,0,16,456789,0,60,0,0,0,0,0,15,15,537,24301,1226,16,162,81,0,0,0,0
SH_ATTACK_N16_SEED456789,sinkhole,attack,1,0,16,456789,60,120,0,0,0,0,0,0,0,1080,40683,2392,16,340,172,0,0,0,0
SH_ATTACK_N16_SEED456789,sinkhole,attack,1,0,16,456789,120,180,0,140,140,0,14,0,0,1092,40371,2467,16,353,178,0,0,0,0
SH_ATTACK_N16_SEED456789,sinkhole,attack,1,0,16,456789,180,240,0,40,40,0,4,0,0,1043,38137,2348,16,339,169,0,0,0,0
SH_ATTACK_N16_SEED456789,sinkhole,attack,1,1,16,456789,240,300,1,100,100,0,10,0,0,1022,37823,2265,16,334,168,1,1,0,0
SH_ATTACK_N16_SEED456789,sinkhole,attack,1,1,16,456789,300,360,1,100,100,0,10,0,0,1046,38231,2346,16,338,169,0,0,0,0
SH_ATTACK_N16_SEED456789,sinkhole,attack,1,1,16,456789,360,420,1,40,40,0,4,0,0,1031,37172,2255,16,338,171,0,0,0,0
SH_ATTACK_N16_SEED456789,sinkhole,attack,1,1,16,456789,420,480,1,140,140,0,14,0,0,1046,38219,2321,16,341,168,0,0,0,0
SH_ATTACK_N16_SEED456789,sinkhole,attack,1,1,16,456789,480,540,1,40,40,0,4,0,0,1046,38431,2332,16,338,169,0,0,0,0
SH_ATTACK_N16_SEED567890,sinkhole,attack,1,0,16,567890,0,60,0,0,0,0,0,15,15,591,26793,1311,16,176,84,0,0,0,0
SH_ATTACK_N16_SEED567890,sinkhole,attack,1,0,16,567890,60,120,0,0,0,0,0,0,0,1056,39820,2186,16,336,169,0,0,0,0
SH_ATTACK_N16_SEED567890,sinkhole,attack,1,0,16,567890,120,180,0,140,140,0,14,0,0,1053,38794,2142,16,338,169,0,0,0,0
