model,source_family,target_family,adaptation_seed_count,splits,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_fpr
cart,wormhole,dis_flood,0,1,0.3889,0.3125,1.0,0.4762,0.8462
cart,wormhole,dis_flood,1,1,1.0,1.0,1.0,1.0,0.0
cart,wormhole,dis_flood,2,1,1.0,1.0,1.0,1.0,0.0
cart,wormhole,dis_flood,3,1,1.0,1.0,1.0,1.0,0.0
cart,wormhole,grayhole,0,1,0.3889,0.3125,1.0,0.4762,0.8462
cart,wormhole,grayhole,1,1,0.9583,1.0,0.85,0.9189,0.0
cart,wormhole,grayhole,2,1,0.9444,1.0,0.8,0.8889,0.0
cart,wormhole,grayhole,3,1,1.0,1.0,1.0,1.0,0.0
cart,wormhole,increase_rank,0,1,0.3889,0.3125,1.0,0.4762,0.8462
cart,wormhole,increase_rank,1,1,0.8056,0.625,0.75,0.6818,0.1731
cart,wormhole,increase_rank,2,1,0.8519,0.6667,0.9333,0.7778,0.1795
cart,wormhole,increase_rank,3,1,0.8611,0.6667,1.0,0.8,0.1923
cart,wormhole,sinkhole,0,1,0.3889,0.3125,1.0,0.4762,0.8462
cart,wormhole,sinkhole,1,1,1.0,1.0,1.0,1.0,0.0
cart,wormhole,sinkhole,2,1,1.0,1.0,1.0,1.0,0.0
cart,wormhole,sinkhole,3,1,1.0,1.0,1.0,1.0,0.0
cart,wormhole,sybil,0,1,0.3889,0.3125,1.0,0.4762,0.8462
cart,wormhole,sybil,1,1,1.0,1.0,1.0,1.0,0.0
cart,wormhole,sybil,2,1,1.0,1.0,1.0,1.0,0.0
cart,wormhole,sybil,3,1,1.0,1.0,1.0,1.0,0.0
cart,wormhole,worst_parent,0,1,0.3889,0.3125,1.0,0.4762,0.8462
cart,wormhole,worst_parent,1,1,1.0,1.0,1.0,1.0,0.0
cart,wormhole,worst_parent,2,1,1.0,1.0,1.0,1.0,0.0
cart,wormhole,worst_parent,3,1,1.0,1.0,1.0,1.0,0.0
cart,worst_parent,blackhole,0,1,0.7222,0.0,0.0,0.0,0.0
cart,worst_parent,blackhole,1,1,1.0,1.0,1.0,1.0,0.0
cart,worst_parent,blackhole,2,1,1.0,1.0,1.0,1.0,0.0
cart,worst_parent,blackhole,3,1,1.0,1.0,1.0,1.0,0.0
