algorithm,episode,family,seed,defender_reward,adversary_q_sinkhole,adversary_q_sybil
ddqn,117,sybil,345678,-14.12,11.4228,13.1365
ddqn,118,sybil,123456,-14.1,11.4228,13.2811
ddqn,119,sybil,234567,-14.28,11.4228,13.4309
ddqn,120,sybil,345678,-14.22,11.4228,13.5493
ddqn,121,sinkhole,123456,0.92,9.5713,13.5493
ddqn,122,sybil,234567,-14.06,9.5713,13.6259
ddqn,123,sybil,345678,-14.36,9.5713,13.736
ddqn,124,sinkhole,123456,-9.54,9.5666,13.736
ddqn,125,sybil,234567,-14.52,9.5666,13.8536
ddqn,126,sybil,345678,-14.36,9.5666,13.9296
ddqn,127,sybil,123456,-14.16,9.5666,13.9641
ddqn,128,sybil,234567,-14.32,9.5666,14.0175
ddqn,129,sybil,345678,-9.44,9.5666,13.3309
ddqn,130,sinkhole,123456,-9.46,9.5506,13.3309
ddqn,131,sybil,234567,-14.38,9.5506,13.4882
ddqn,132,sybil,345678,-9.42,9.5506,12.878
ddqn,133,sybil,123456,-14.34,9.5506,13.0973
ddqn,134,sybil,234567,-14.24,9.5506,13.2687
ddqn,135,sinkhole,345678,-14.26,10.2571,13.2687
ddqn,136,sybil,123456,-14.28,10.2571,13.4204
ddqn,137,sybil,234567,-14.36,10.2571,13.5613
ddqn,138,sybil,345678,-9.48,10.2571,12.9491
ddqn,139,sybil,123456,-14.5,10.2571,13.1818
ddqn,140,sybil,234567,-14.28,10.2571,13.3465
ddqn,141,sybil,345678,-14.22,10.2571,13.4775
ddqn,142,sybil,123456,-14.18,10.2571,13.5829
ddqn,143,sinkhole,234567,-4.5,9.3935,13.5829
ddqn,144,sybil,345678,-9.36,9.3935,12.9495
ddqn,145,sybil,123456,-14.14,9.3935,13.128
ddqn,146,sybil,234567,-14.22,9.3935,13.2918
ddqn,147,sybil,345678,-9.28,9.3935,12.6901
ddqn,148,sybil,123456,-14.3,9.3935,12.9316
ddqn,149,sybil,234567,-14.3,9.3935,13.1368
ddqn,150,sybil,345678,-4.16,9.3935,11.7903
ddqn,151,sybil,123456,-4.12,9.3935,10.6398
ddqn,152,sybil,234567,-4.12,9.3935,9.6618
ddqn,153,sybil,345678,-14.12,9.3935,10.3305
ddqn,154,sybil,123456,-14.3,9.3935,10.9259
ddqn,155,sybil,234567,-14.24,9.3935,11.4231
ddqn,156,sybil,345678,-9.22,9.3935,11.0926
ddqn,157,sybil,123456,-14.3,9.3935,11.5737
ddqn,158,sybil,234567,-14.22,9.3935,11.9706
ddqn,159,sybil,345678,-9.14,9.3935,11.5461
ddqn,160,sybil,123456,-14.18,9.3935,11.9411
ddqn,161,sybil,234567,-4.24,9.3935,10.786
ddqn,162,sybil,345678,-4.1,9.3935,9.7831
